상권_구분_코드,상권_코드,상권_코드_명,상권_구분_코드_명, 엑스좌표_값, 와이좌표_값
R,1001453,낙성대시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001454,봉천제일종합시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001474,도곡시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001475,강남개포시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001412,화곡본동시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001413,까치산시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001414,송화골목시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001452,중부시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001415,방신전통시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001416,공항시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001423,독산동 우시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001424,남문시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001425,푸른터시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001426,대명시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001427,현대시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001428,박미시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001429,은행나무시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001470,강남시장_강남,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001372,녹번시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001373,신응암시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001374,대림골목시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001480,새마을시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001440,노량진중앙시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001441,본동인정시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001442,신노량진시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001443,강남시장_동작,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001444,상도전통시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001445,영도시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001446,성대시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001375,증산종합시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001376,수일시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001460,관악신사시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001461,신림종합시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001462,강남골목시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001463,신림중앙시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001464,삼성동시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001465,신신림시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001466,미성동도깨비시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001467,우림시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001437,영진시장A동,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001438,우리시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001439,대림중앙시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001417,구로시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001418,남구로시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001419,가리봉시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001420,고척근린시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001421,개봉중앙시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
R,1001422,오류시장,전통시장,"[203622.21999999898, 459884.46999999904]","[203588.599999994, 459903.85999999905]"
