상권_구분_코드,상권_코드,상권_코드_명,상권_구분_코드_명,x,y,x1,y1
R,1001453,낙성대시장,전통시장,196213.759999998,442152.079999998,196125.759999998,442006.829999998
R,1001454,봉천제일종합시장,전통시장,195242.519999996,442426.729999997,195055.29999999702,442423.309999995
R,1001474,도곡시장,전통시장,204621.689999998,444236.129999995,204436.989999995,444194.979999997
R,1001475,강남개포시장,전통시장,205983.139999993,443324.319999993,206085.959999993,443262.59999999404
R,1001412,화곡본동시장,전통시장,186224.349999994,449258.549999997,186196.259999998,449431.629999995
R,1001413,까치산시장,전통시장,186478.209999993,448239.089999996,186504.079999998,448007.299999997
R,1001414,송화골목시장,전통시장,185536.71999999898,450051.889999993,185340.529999994,449948.739999995
R,1001452,중부시장,전통시장,196208.089999996,442866.489999995,196118.239999995,442751.71999999904
R,1001415,방신전통시장,전통시장,183428.769999996,452517.02999999403,183456.61999999703,452301.949999996
R,1001416,공항시장,전통시장,183016.43,451454.379999995,183099.04999999702,451437.139999993
R,1001423,독산동 우시장,전통시장,190933.819999993,440662.409999996,190666.16999999402,440849.889999993
R,1001424,남문시장,전통시장,191283.639999993,441750.089999996,191163.54999999702,441525.879999995
R,1001425,푸른터시장,전통시장,191256.68,442103.509999998,191304.989999995,442047.639999993
R,1001426,대명시장,전통시장,191332.16999999402,439474.71999999904,191314.61999999703,439373.46999999904
R,1001427,현대시장,전통시장,191560.18,439867.20999999304,191202.839999996,439487.78999999905
R,1001428,박미시장,전통시장,191526.399999999,437894.229999997,191662.509999998,437845.78999999905
R,1001429,은행나무시장,전통시장,192027.449999996,439047.259999998,191917.399999999,439154.409999996
R,1001470,강남시장_강남,전통시장,201787.379999995,446614.379999995,201869.899999999,446560.25
R,1001372,녹번시장,전통시장,193888.30999999502,455747.509999998,193967.209999993,455686.53999999905
R,1001373,신응암시장,전통시장,192863.41999999402,454998.45999999304,192776.539999999,455025.34999999404
R,1001374,대림골목시장,전통시장,192804.019999996,454101.479999997,192598.039999999,454134.28999999905
R,1001480,새마을시장,전통시장,207434.239999995,445359.479999997,207582.61,445702.389999993
R,1001440,노량진중앙시장,전통시장,195166.659999996,445762.379999995,195071.379999995,445900.11999999697
R,1001441,본동인정시장,전통시장,195754.439999998,445856.61999999697,195513.229999997,445739.18
R,1001442,신노량진시장,전통시장,194707.91999999402,445421.309999995,194618.959999993,445476.049999997
R,1001443,강남시장_동작,전통시장,195901.009999998,444189.229999997,195875.41999999402,444124.079999998
R,1001444,상도전통시장,전통시장,195685.25,444572.519999996,195840.079999998,444379.77999999403
R,1001445,영도시장,전통시장,194651.21999999898,444983.61999999697,194794.11999999703,444954.949999996
R,1001446,성대시장,전통시장,193911.79999999702,444421.819999993,193947.539999999,444543.639999993
R,1001375,증산종합시장,전통시장,191694.66999999402,453613.60999999905,191599.269999996,453579.589999996
R,1001376,수일시장,전통시장,190801.04999999702,453712.989999995,190674.289999999,453760.829999998
R,1001460,관악신사시장,전통시장,192637.889999993,443148.569999993,192595.96999999898,442929.049999997
R,1001461,신림종합시장,전통시장,192679.959999993,442835.18999999797,192645.269999996,442785.819999993
R,1001462,강남골목시장,전통시장,191610.289999999,442523.95999999304,191516.71999999898,442607.27999999403
R,1001463,신림중앙시장,전통시장,192180.229999997,442693.139999993,192087.889999993,442604.339999996
R,1001464,삼성동시장,전통시장,194076.589999996,441361.319999993,194023.149999999,441246.18999999797
R,1001465,신신림시장,전통시장,194036.75,441281.14999999903,193934.66999999402,441225.61999999697
R,1001466,미성동도깨비시장,전통시장,192645.11999999703,441723.839999996,192559.519999996,441583.309999995
R,1001467,우림시장,전통시장,192912.199999996,441266.34999999404,192994.18,441168.64999999903
R,1001437,영진시장A동,전통시장,192602.379999995,444554.239999995,192484.209999993,444537.739999995
R,1001438,우리시장,전통시장,191574.779999994,444227.829999998,191591.91999999402,444105.259999998
R,1001439,대림중앙시장,전통시장,191116.459999993,443484.18999999797,191018.839999996,443436.89999999903
R,1001417,구로시장,전통시장,189889.069999993,443261.659999996,189812.159999996,443343.84999999404
R,1001418,남구로시장,전통시장,190063.849999994,443477.269999996,189928.079999998,443342.949999996
R,1001419,가리봉시장,전통시장,190295.41999999402,442546.199999996,190122.96999999898,442443.739999995
R,1001420,고척근린시장,전통시장,186825.489999995,444807.639999993,186728.71999999898,444674.049999997
R,1001421,개봉중앙시장,전통시장,187090.599999994,443743.239999995,187057.739999995,443562.259999998
R,1001422,오류시장,전통시장,186071.819999993,444221.25,186164.029999994,444060.28999999905
R,1001476,풍납시장,전통시장,210562.43,448789.68,210530.899999999,448585.39999999903
R,1001477,마천시장,전통시장,213450.259999998,444401.739999995,213190.729999997,444202.27999999403
R,1001478,방이시장,전통시장,210130.339999996,445892.25,210330.36999999703,445510.909999996
R,1001479,석촌시장,전통시장,209596.829999998,444629.36999999697,209398.909999996,444466.509999998
R,1001396,목4동시장,전통시장,188180.11,448826.86999999697,188236.959999993,448617.339999996
R,1001397,신영시장,전통시장,185563.989999995,448160.569999993,185439.839999996,448136.5
R,1001398,월정로시장,전통시장,185447.539999999,448120.95999999304,185218.149999999,448192.089999996
R,1001447,상도4동도깨비골목시장,전통시장,194474.96999999898,444882.5,194535.739999995,444392.0
R,1001448,흑석시장,전통시장,196920.039999999,445353.839999996,196690.589999996,445144.70999999304
R,1001449,남성사계시장,전통시장,198387.709999993,443261.879999995,198196.239999995,443166.71999999904
R,1001451,사당시장,전통시장,197848.80999999502,442587.5,197754.829999998,442587.569999993
