id_,date,week,business_distinct_code,business_area_code,business_area_name,store_name,address,lng,lat,type
ChIJe8e-fPuefDURMskY-KDtHx8,2019-12-5,1,R,1001430,영등포전통시장,Starbucks,"신세계 백화점 B 관 지하 2 층, 434-5 Yeongdeungpodong 4(sa)-ga, Yeongdeungpo-gu",126.9054754,37.5170904,food
ChIJe8e-fPuefDURMskY-KDtHx8,2019-12-5,1,R,1001430,영등포전통시장,Starbucks,"신세계 백화점 B 관 지하 2 층, 434-5 Yeongdeungpodong 4(sa)-ga, Yeongdeungpo-gu",126.9054754,37.5170904,point_of_interest
ChIJe8e-fPuefDURMskY-KDtHx8,2019-12-5,1,R,1001430,영등포전통시장,Starbucks,"신세계 백화점 B 관 지하 2 층, 434-5 Yeongdeungpodong 4(sa)-ga, Yeongdeungpo-gu",126.9054754,37.5170904,store
ChIJe8e-fPuefDURMskY-KDtHx8,2019-12-5,1,R,1001430,영등포전통시장,Starbucks,"신세계 백화점 B 관 지하 2 층, 434-5 Yeongdeungpodong 4(sa)-ga, Yeongdeungpo-gu",126.9054754,37.5170904,establishment
ChIJkYLVYvuefDURpay0tBo5dqs,2019-12-5,1,R,1001430,영등포전통시장,Shinsegae Department Store - Yeongdeungpo Branch,"Yeongjung-ro, Yeongdeungpo-dong, Yeongdeungpo-gu",126.9055629,37.5171482,department_store
ChIJkYLVYvuefDURpay0tBo5dqs,2019-12-5,1,R,1001430,영등포전통시장,Shinsegae Department Store - Yeongdeungpo Branch,"Yeongjung-ro, Yeongdeungpo-dong, Yeongdeungpo-gu",126.9055629,37.5171482,point_of_interest
ChIJkYLVYvuefDURpay0tBo5dqs,2019-12-5,1,R,1001430,영등포전통시장,Shinsegae Department Store - Yeongdeungpo Branch,"Yeongjung-ro, Yeongdeungpo-dong, Yeongdeungpo-gu",126.9055629,37.5171482,store
ChIJkYLVYvuefDURpay0tBo5dqs,2019-12-5,1,R,1001430,영등포전통시장,Shinsegae Department Store - Yeongdeungpo Branch,"Yeongjung-ro, Yeongdeungpo-dong, Yeongdeungpo-gu",126.9055629,37.5171482,establishment
ChIJsWzPYvuefDUROMYxdn8m8xA,2019-12-5,1,R,1001430,영등포전통시장,캘빈클라인 언더웨어 신세계백화점 영등포점,"434-5 신세계백화점 7층, Yeongdeungpo-gu",126.905617,37.517151,clothing_store
ChIJsWzPYvuefDUROMYxdn8m8xA,2019-12-5,1,R,1001430,영등포전통시장,캘빈클라인 언더웨어 신세계백화점 영등포점,"434-5 신세계백화점 7층, Yeongdeungpo-gu",126.905617,37.517151,point_of_interest
ChIJsWzPYvuefDUROMYxdn8m8xA,2019-12-5,1,R,1001430,영등포전통시장,캘빈클라인 언더웨어 신세계백화점 영등포점,"434-5 신세계백화점 7층, Yeongdeungpo-gu",126.905617,37.517151,store
ChIJsWzPYvuefDUROMYxdn8m8xA,2019-12-5,1,R,1001430,영등포전통시장,캘빈클라인 언더웨어 신세계백화점 영등포점,"434-5 신세계백화점 7층, Yeongdeungpo-gu",126.905617,37.517151,establishment
ChIJsWzPYvuefDURZpZgXUA5UBk,2019-12-5,1,R,1001430,영등포전통시장,캘빈클라인 진 신세계백화점 영등포점,"434-5 신세계백화점 영등포점 지하2층, Yeongdeungpo-gu",126.905617,37.517151,clothing_store
ChIJsWzPYvuefDURZpZgXUA5UBk,2019-12-5,1,R,1001430,영등포전통시장,캘빈클라인 진 신세계백화점 영등포점,"434-5 신세계백화점 영등포점 지하2층, Yeongdeungpo-gu",126.905617,37.517151,point_of_interest
ChIJsWzPYvuefDURZpZgXUA5UBk,2019-12-5,1,R,1001430,영등포전통시장,캘빈클라인 진 신세계백화점 영등포점,"434-5 신세계백화점 영등포점 지하2층, Yeongdeungpo-gu",126.905617,37.517151,store
