id_,date,week,hour,store_name,current_popular,business_distinct_code,business_area_code
ChIJRaHeqfaifDURk7rYwufXWjw,2019-12-5,1,23:00:00,Paul Bassett,0,R,1001273
ChIJeT3PAvSifDUR48kbxGiIWcs,2019-12-5,1,23:00:00,Arc'teryx Shinsegae Main Store,0,R,1001273
ChIJscmpVfGifDUR2KXdnTmzErw,2019-12-5,1,23:00:00,Biotem,0,R,1001273
ChIJnckPVvGifDURagV9mH-SrE4,2019-12-5,1,23:00:00,adidas Originals Shop-in-Shop Seoul Shinsegae Myungdong,0,R,1001273
ChIJdZGPbfSifDUR-ZWrFAMwcWU,2019-12-5,1,23:00:00,다이소 남대문시장점,0,R,1001273
ChIJjVbbJfSifDURbFH-qsMUktA,2019-12-5,1,23:00:00,Starbucks,0,R,1001273
ChIJ_XPyXCOjfDURI2iMHXWG8KM,2019-12-5,1,23:00:00,우림인터내셔널,0,R,1001276
ChIJ8T7vpDyjfDURtXEg_scLkE0,2019-12-5,1,23:00:00,NO BRAND,0,R,1001276
ChIJG_kFt72ifDURBbw5dG9tHiU,2019-12-5,1,23:00:00,Hyoja Bakery,0,R,1001264
ChIJT4ufVy-jfDURp7uVlPNYDKE,2019-12-5,1,23:00:00,세븐일레븐,0,R,1001268
ChIJoekAMDaifDURrtiKlFG2-7A,2019-12-5,1,23:00:00,Fila flagship,0,R,1001291
ChIJDRZbJTaifDURMUPXrBAI0Is,2019-12-5,1,23:00:00,QUEEN EXPORT,14,R,1001291
ChIJ-_Kgf-2ifDURBgoGideqLsA,2019-12-5,1,23:00:00,Itaewon Market,0,R,1001291
ChIJl6gnyEiifDURLSvt0GmFNLA,2019-12-5,1,23:00:00,더부스 경리단점 (The Booth Gyeonglidan),0,R,1001292
ChIJDW1Ht0iifDUR5u11segN7d4,2019-12-5,1,23:00:00,The Bakers Table,0,R,1001292
ChIJqRibBMe8fDURB9-mcLSDQHw,2019-12-5,1,23:00:00,Lotte Super dongsomun points,0,R,1001338
ChIJP9SWZwehfDUR9kGYFqtovj0,2019-12-5,1,23:00:00,Starbucks,0,D,1001034
ChIJ81vs4KmhfDURmPQxSXfYyJw,2019-12-5,1,23:00:00,현석주얼리,0,D,1001034
ChIJ25C-F7KmfDURPjE0kcYRi1E,2019-12-5,1,23:00:00,GS25 도곡점,0,D,1001035
ChIJDfGIHqGffDURarh8HEJlVsM,2019-12-5,1,23:00:00,파리바게뜨 신대방삼거리역점,0,D,1001072
ChIJteU-CKGffDURl-0FhK6FWW8,2019-12-5,1,23:00:00,시간을들이다 상도동본점,0,D,1001072
ChIJdZYFV6CffDURZkLbNrvXSiU,2019-12-5,1,23:00:00,빽다방 신대방삼거리점,0,D,1001072
ChIJQZTs22ihfDUREbAEg7SCFQE,2019-12-5,1,23:00:00,달무티 교대점,0,D,1001063
ChIJXSpCv2ihfDURT8HxTqwYYGU,2019-12-5,1,23:00:00,CU 삼풍중앙점,0,D,1001063
ChIJvT2aWmihfDURJPgKhqJlW-A,2019-12-5,1,23:00:00,파리크라상 교대점,0,D,1001063
ChIJo52D32ihfDURxAT-ooW6B64,2019-12-5,1,23:00:00,Seven Bricks Coffee,0,D,1001063
ChIJhVJwV2ihfDURflfnv_k1jio,2019-12-5,1,23:00:00,LOTTE Premium Food Market (LOTTE Super Seocho),0,D,1001063
ChIJpyEJVGihfDURxUWbLW3V1fY,2019-12-5,1,23:00:00,No Brand,0,D,1001063
ChIJwYM0eECefDURh8ZAuFjjQic,2019-12-5,1,23:00:00,오휘 구로지사,42,D,1001064
ChIJGzrYh6ihfDUREFW2UmD1U4k,2019-12-5,1,23:00:00,한성자동차(주),0,D,1001125
ChIJb91uHs-dfDURGaaVPBVpRr8,2019-12-5,1,23:00:00,다이소 신정네거리점 ダイソー daiso,0,D,1001126
ChIJs9SlX3qkfDURHD4m0FVnMWc,2019-12-5,1,23:00:00,백작바이피렌체 본점 청담,0,D,1001129
ChIJJZGi5XqkfDUR7hcvj_Mq-YQ,2019-12-5,1,23:00:00,STAUDIO,0,D,1001129
ChIJTdVnGHukfDURgVZDsdeFXdI,2019-12-5,1,23:00:00,미니스톱 청담점,0,D,1001133
ChIJPQSiNTyffDUR9K76DSLqVBM,2019-12-5,1,23:00:00,Olive Young,0,D,1001134
ChIJf1IvP-ujfDURriB-Yp3rF8Y,2019-12-5,1,23:00:00,DECIEM The Abnormal Beauty Company,0,D,1001135
ChIJL6OFO-ujfDURotBW0uP1Jj4,2019-12-5,1,23:00:00,아이코스 스토어 가로수길점,0,D,1001135
ChIJ29yPWuujfDURHZMKYWGLEFs,2019-12-5,1,23:00:00,VILLAGE 11 FACTORY,0,D,1001135
ChIJ1-RKFOujfDURI_4OlIJWCVU,2019-12-5,1,23:00:00,Rapha Seoul Clubhouse,0,D,1001135
ChIJt-YxMeujfDUR-pPjzM6-Iwk,2019-12-5,1,23:00:00,3CE CINEMA (stylenanda),0,D,1001135
ChIJp4EIJeujfDURpB1tJCLTGJY,2019-12-5,1,23:00:00,GENTLE MONSTER PARALLEL,0,D,1001135
ChIJLW4iVeujfDURE4y8olTf4EY,2019-12-5,1,23:00:00,Villa Soohyang Seoul,0,D,1001135
ChIJX-NKPJOjfDURopwFpMS8u9w,2019-12-5,1,23:00:00,Zara,0,D,1001135
ChIJPx7lv5SjfDUR-Sd4NkD4whQ,2019-12-5,1,23:00:00,Åland,0,D,1001135
ChIJRxWJ9eqjfDURlD2G08_bhiE,2019-12-5,1,23:00:00,PAZ PEACE CAKE shop,0,D,1001135
ChIJay6hO-2jfDURjmO-YFvkfog,2019-12-5,1,23:00:00,Lotte Hi-Mart Apgujeong,0,D,1001135
ChIJseGTPO2jfDURolT6xFLRSl4,2019-12-5,1,23:00:00,마세라티 강남서비스센터,0,D,1001135
ChIJF3d2tpOjfDUR2YGX-IfaaXY,2019-12-5,1,23:00:00,Hanscake(Apgujeong),0,D,1001135
ChIJJ67JGJOjfDURajKhsolRVY4,2019-12-5,1,23:00:00,ENTARO COFFEE COMPANY,0,D,1001135
ChIJ4SNlWJKjfDURd6xG2_GD5Yg,2019-12-5,1,23:00:00,Patio 42,0,D,1001135
ChIJxd_nR5KjfDURWodb88rshXY,2019-12-5,1,23:00:00,Tom N Toms Coffee,0,D,1001135
ChIJRWiABJOjfDUR4dwGseKsf0U,2019-12-5,1,23:00:00,나연한복,5,D,1001135
ChIJLyk3uOujfDURQAOzWAmXoxo,2019-12-5,1,23:00:00,Garosu Brewing Company,0,D,1001135
ChIJZ42rKpOjfDURSPWtpKqBs_E,2019-12-5,1,23:00:00,프로젝트 프로덕트 (PROJEKT PRODUKT),0,D,1001135
ChIJ446xn-yjfDURVVCxKKN1r8Q,2019-12-5,1,23:00:00,Scuro,0,D,1001135
ChIJA-nV1YujfDURDXVy8luGJKk,2019-12-5,1,23:00:00,Boaenna,5,D,1001135
ChIJVRvTlJSjfDURuUxIW70vr7U,2019-12-5,1,23:00:00,MANGO,0,D,1001135
ChIJTzEDmpSjfDURuQxHdYkduXA,2019-12-5,1,23:00:00,CU,5,D,1001135
ChIJxav0O2mjfDURm4saDht7rw4,2019-12-5,1,23:00:00,Mang-Go,5,D,1001135
ChIJky3yOuujfDURg-6TuvZcidE,2019-12-5,1,23:00:00,GENTLE MONSTER SINSA FLAGSHIP STORE,0,D,1001135
