id_,date,week,business_distinct_code,business_area_code,rating,rating_n,timespent_min,timespent_max
ChIJoekAMDaifDURrtiKlFG2-7A,2019-12-5,1,R,1001291,4.5,28,30,60
ChIJDRZbJTaifDURMUPXrBAI0Is,2019-12-5,1,R,1001291,4.0,1111,25,60
ChIJ-_Kgf-2ifDURBgoGideqLsA,2019-12-5,1,R,1001291,4.0,1114,25,90
ChIJl6gnyEiifDURLSvt0GmFNLA,2019-12-5,1,R,1001292,4.1,213,0,0
ChIJDW1Ht0iifDUR5u11segN7d4,2019-12-5,1,R,1001292,4.1,547,45,60
ChIJqRibBMe8fDURB9-mcLSDQHw,2019-12-5,1,R,1001338,3.6,143,20,20
ChIJP9SWZwehfDUR9kGYFqtovj0,2019-12-5,1,D,1001034,3.8,321,0,0
ChIJ81vs4KmhfDURmPQxSXfYyJw,2019-12-5,1,D,1001034,4.7,6,0,0
ChIJ25C-F7KmfDURPjE0kcYRi1E,2019-12-5,1,D,1001035,4.3,3,0,0
ChIJDfGIHqGffDURarh8HEJlVsM,2019-12-5,1,D,1001072,3.7,58,0,0
ChIJteU-CKGffDURl-0FhK6FWW8,2019-12-5,1,D,1001072,4.2,75,0,0
ChIJdZYFV6CffDURZkLbNrvXSiU,2019-12-5,1,D,1001072,3.7,54,0,0
ChIJQZTs22ihfDUREbAEg7SCFQE,2019-12-5,1,D,1001063,4.5,51,60,240
ChIJXSpCv2ihfDURT8HxTqwYYGU,2019-12-5,1,D,1001063,0,0,15,15
ChIJvT2aWmihfDURJPgKhqJlW-A,2019-12-5,1,D,1001063,3.7,136,30,90
ChIJo52D32ihfDURxAT-ooW6B64,2019-12-5,1,D,1001063,3.8,32,0,0
ChIJhVJwV2ihfDURflfnv_k1jio,2019-12-5,1,D,1001063,4.0,146,30,30
ChIJpyEJVGihfDURxUWbLW3V1fY,2019-12-5,1,D,1001063,4.1,119,20,20
ChIJwYM0eECefDURh8ZAuFjjQic,2019-12-5,1,D,1001064,3.7,70,0,0
ChIJGzrYh6ihfDUREFW2UmD1U4k,2019-12-5,1,D,1001125,4.4,24,0,0
ChIJb91uHs-dfDURGaaVPBVpRr8,2019-12-5,1,D,1001126,4.0,287,30,30
ChIJs9SlX3qkfDURHD4m0FVnMWc,2019-12-5,1,D,1001129,4.5,29,20,90
ChIJJZGi5XqkfDUR7hcvj_Mq-YQ,2019-12-5,1,D,1001129,3.9,30,90,300
ChIJTdVnGHukfDURgVZDsdeFXdI,2019-12-5,1,D,1001133,4.2,561,25,60
ChIJPQSiNTyffDUR9K76DSLqVBM,2019-12-5,1,D,1001134,4.2,52,20,20
ChIJf1IvP-ujfDURriB-Yp3rF8Y,2019-12-5,1,D,1001135,4.3,67,15,45
ChIJL6OFO-ujfDURotBW0uP1Jj4,2019-12-5,1,D,1001135,4.5,204,30,30
ChIJ29yPWuujfDURHZMKYWGLEFs,2019-12-5,1,D,1001135,4.1,24,0,0
ChIJ1-RKFOujfDURI_4OlIJWCVU,2019-12-5,1,D,1001135,4.1,95,30,60
ChIJt-YxMeujfDUR-pPjzM6-Iwk,2019-12-5,1,D,1001135,4.0,85,25,60
ChIJp4EIJeujfDURpB1tJCLTGJY,2019-12-5,1,D,1001135,4.8,22,0,0
ChIJLW4iVeujfDURE4y8olTf4EY,2019-12-5,1,D,1001135,4.4,60,0,0
ChIJX-NKPJOjfDURopwFpMS8u9w,2019-12-5,1,D,1001135,3.8,59,25,60
ChIJPx7lv5SjfDUR-Sd4NkD4whQ,2019-12-5,1,D,1001135,3.8,124,30,30
ChIJRxWJ9eqjfDURlD2G08_bhiE,2019-12-5,1,D,1001135,3.7,49,60,120
ChIJay6hO-2jfDURjmO-YFvkfog,2019-12-5,1,D,1001135,3.7,231,20,20
ChIJseGTPO2jfDURolT6xFLRSl4,2019-12-5,1,D,1001135,4.2,9,0,0
ChIJF3d2tpOjfDUR2YGX-IfaaXY,2019-12-5,1,D,1001135,4.1,79,15,90
ChIJJ67JGJOjfDURajKhsolRVY4,2019-12-5,1,D,1001135,4.1,151,45,120
ChIJ4SNlWJKjfDURd6xG2_GD5Yg,2019-12-5,1,D,1001135,4.2,103,60,120
ChIJxd_nR5KjfDURWodb88rshXY,2019-12-5,1,D,1001135,3.9,70,45,120
ChIJRWiABJOjfDUR4dwGseKsf0U,2019-12-5,1,D,1001135,4.1,3870,90,90
ChIJLyk3uOujfDURQAOzWAmXoxo,2019-12-5,1,D,1001135,4.2,123,90,150
ChIJZ42rKpOjfDURSPWtpKqBs_E,2019-12-5,1,D,1001135,5.0,5,0,0
ChIJ446xn-yjfDURVVCxKKN1r8Q,2019-12-5,1,D,1001135,4.4,88,120,180
ChIJA-nV1YujfDURDXVy8luGJKk,2019-12-5,1,D,1001135,4.1,3870,90,90
ChIJVRvTlJSjfDURuUxIW70vr7U,2019-12-5,1,D,1001135,3.9,40,25,60
ChIJTzEDmpSjfDURuQxHdYkduXA,2019-12-5,1,D,1001135,4.1,3870,90,90
ChIJxav0O2mjfDURm4saDht7rw4,2019-12-5,1,D,1001135,4.1,3870,90,90
ChIJky3yOuujfDURg-6TuvZcidE,2019-12-5,1,D,1001135,4.6,196,20,60
ChIJZdtYZuujfDUROXiByn4g4Vs,2019-12-5,1,D,1001135,3.7,162,60,120
ChIJXYdUyJSjfDURgbPQbtuXw0s,2019-12-5,1,D,1001135,3.9,40,20,45
ChIJy_UUQJKjfDURwYrmugi66j8,2019-12-5,1,D,1001135,3.9,206,25,90
ChIJ6bTEzqqmfDURdJVs40gCo2c,2019-12-5,1,D,1001135,4.3,53,25,60
ChIJcRJqmuyjfDURC9ndoyDK45g,2019-12-5,1,D,1001135,4.1,3870,90,90
ChIJxxKZGO2jfDURMP_ts7sVWYs,2019-12-5,1,D,1001135,4.4,30,25,60
ChIJJy4X4ZKjfDURbZYs59OA45g,2019-12-5,1,D,1001135,4.1,3870,90,90
ChIJubri4JKjfDURMVzK-Svazc8,2019-12-5,1,D,1001135,4.1,3870,90,90
ChIJoVkidpSifDURz7dskBGDoeg,2019-12-5,1,D,1001135,4.2,179,0,0
ChIJDVtdCnmkfDUROtns_WAdMt4,2019-12-5,1,D,1001138,4.6,12,0,0
ChIJwzk6d3mkfDURL1tTQIKSybk,2019-12-5,1,D,1001138,4.6,32,20,45
ChIJ682M83ekfDURoIxAwbdHIO8,2019-12-5,1,D,1001138,4.6,103,90,150
ChIJ2ZZV03ukfDUR57MtlSCJIdQ,2019-12-5,1,D,1001138,4.8,9,45,120
ChIJnah07nekfDUR0iSXqAn5Eho,2019-12-5,1,D,1001138,4.3,180,0,0
ChIJn17RU3ikfDUR0MFP_wFFHx0,2019-12-5,1,D,1001138,4.0,29,20,45
ChIJZUjBYHmkfDURoL38ntzcqt4,2019-12-5,1,D,1001138,4.4,81,90,180
ChIJz-cz73mkfDUR-o5tB9xl0V8,2019-12-5,1,D,1001138,4.8,4,0,0
ChIJzRPM_4ujfDURn9FzCGO9k_c,2019-12-5,1,D,1001138,0,0,0,0
ChIJeYR2dnmkfDURLbMixPu6zoE,2019-12-5,1,D,1001138,3.7,66,15,60
ChIJrccHecGffDURcpX2CGDHtOs,2019-12-5,1,D,1001139,4.0,4,0,0
ChIJ1VSV-I2jfDUR9ChvyDg94e4,2019-12-5,1,D,1001140,3.9,122,45,120
ChIJzR4reZKjfDURKLmL8RXVM2o,2019-12-5,1,D,1001140,4.1,3870,90,90
ChIJt7pea46jfDUR25OrqUf9Y_U,2019-12-5,1,D,1001140,4.4,18,0,0
ChIJ0-ECQI6jfDURhTDwEBjAofY,2019-12-5,1,D,1001140,4.1,3870,90,90
ChIJZ4hgfJKjfDURNV4qsgp7CK8,2019-12-5,1,D,1001140,4.1,3870,90,90
ChIJd4StpwyjfDURhzHTrWv1qXQ,2019-12-5,1,D,1001140,3.8,117,0,0
ChIJBxOsvrmjfDURxcm51xO1BaY,2019-12-5,1,D,1001236,4.3,79,30,60
ChIJUeNPesSifDUR2kp3ulq1tNE,2019-12-5,1,D,1001236,5.0,6,0,0
ChIJESKZse67fDURY7U2d7H-4dU,2019-12-5,1,D,1001238,4.0,897,45,120
ChIJcUwUBFu7fDURJykB9SuDeZI,2019-12-5,1,D,1001238,4.0,897,45,120
ChIJ_QUPTVq7fDUR-YEMeI3FNQk,2019-12-5,1,D,1001238,4.0,897,45,120
ChIJxSfBCFu7fDURtTW3hn268Ss,2019-12-5,1,D,1001238,3.9,176,45,90
ChIJtf1Mj7q7fDURMvHEXlkz5es,2019-12-5,1,D,1001238,4.0,897,45,120
ChIJc47RPFq7fDUR7qDEhZuNk1w,2019-12-5,1,D,1001238,4.0,897,45,120
ChIJ8Wi18Vm7fDUR4EygKlYSfLQ,2019-12-5,1,D,1001238,3.7,170,30,30
ChIJG5gDtB27fDUR5z0TY1AU_qM,2019-12-5,1,D,1001238,4.0,897,45,120
ChIJf1fgnye7fDURKblpad1yNnU,2019-12-5,1,D,1001238,4.0,897,45,120
ChIJq83hrlu7fDURSfq39HCXfII,2019-12-5,1,D,1001238,4.2,448,90,90
ChIJZfglU0G7fDURRkphBYPVMi8,2019-12-5,1,D,1001238,4.0,2263,30,90
ChIJKbFYkhKZfDURYUQGIbXFNuo,2019-12-5,1,D,1001239,3.7,65,60,120
