상권_구분_코드,상권_코드,상권_코드_명,keyword
A,1000253,사가정로42길,사가정로42길
A,1000254,사가정로54길,사가정로54길
A,1000255,신내로7가길,신내로7가길
A,1000363,도봉로152가길,도봉로152가길
A,1000235,동일로140길,동일로140길
A,1000236,동일로149길,동일로149길
A,1000237,동일로157길,동일로157길
A,1000654,가산로3길,가산로3길
A,1000655,가산로5길,가산로5길
A,1000656,금하로14길,금하로14길
A,1000657,금하로1길,금하로1길
A,1000124,청계천로10나길,청계천로10나길
A,1000077,한강대로104길,한강대로104길
A,1000078,한강대로15길,한강대로15길
A,1000102,사근동길,사근동길
A,1000103,상원12길,상원12길
A,1000104,상원길,상원길
A,1000105,서울숲2길,서울숲2길
A,1000250,봉화산로30길,봉화산로30길
A,1000936,학동로38길,학동로38길
A,1000609,개봉로11길,개봉로11길
A,1000610,개봉로17길,개봉로17길
A,1000505,토정로37길,토정로37길
A,1000506,효창원로93길,효창원로93길
A,1000974,동남로65길,동남로65길
A,1000739,동작대로17길,동작대로17길
A,1000740,동작대로29길,동작대로29길
A,1000741,동작대로33길,동작대로33길
A,1000742,동작대로35길,동작대로35길
A,1000743,동작대로7길,동작대로7길
A,1000744,등용로14길,등용로14길
A,1000844,강남대로23길,강남대로23길
A,1000712,선유서로25길,선유서로25길
A,1000511,곰달래로5길,곰달래로5길
A,1000512,남부순환로33길,남부순환로33길
A,1000513,남부순환로40길,남부순환로40길
A,1000514,남부순환로58길,남부순환로58길
A,1000515,남부순환로70길,남부순환로70길
A,1000516,남부순환로79길,남부순환로79길
A,1000922,삼성로69길,삼성로69길
A,1000923,삼성로75길,삼성로75길
A,1000924,선릉로121길,선릉로121길
A,1000925,선릉로132길,선릉로132길
A,1000926,선릉로133길,선릉로133길
A,1000927,선릉로146길,선릉로146길
A,1000597,양천로73가길,양천로73가길
A,1000799,남부순환로234길,남부순환로234길
A,1000471,마포대로12길,마포대로12길
A,1000472,마포대로20길,마포대로20길
A,1001006,천호대로197길,천호대로197길
A,1001007,천호대로219길,천호대로219길
A,1001008,천호옛14길,천호옛14길
A,1001009,천호옛길,천호옛길
A,1001010,풍성로37가길,풍성로37가길
A,1000787,국회단지길,국회단지길
A,1000543,중앙로32길,중앙로32길
A,1000564,강서로5나길,강서로5나길
A,1000565,강서로5라길,강서로5라길
A,1000566,강서로8길,강서로8길
A,1000567,개화동로23길,개화동로23길
A,1000568,개화동로25길,개화동로25길
A,1000569,곰달래로25길,곰달래로25길
A,1000730,영등포로80길,영등포로80길
A,1000794,난향길,난향길
A,1000795,남부순환로142길,남부순환로142길
A,1000796,남부순환로151길,남부순환로151길
A,1000797,남부순환로161길,남부순환로161길
A,1000798,남부순환로172길,남부순환로172길
A,1000955,송이로23길,송이로23길
A,1000782,관악로28길,관악로28길
A,1000783,관악로30길,관악로30길
A,1000784,관천로15길,관천로15길
A,1000785,관천로22길,관천로22길
A,1000889,개포로17길,개포로17길
A,1000890,개포로20길,개포로20길
A,1000747,사당로16가길,사당로16가길
A,1000442,세무서길,세무서길
A,1000959,양재대로62길,양재대로62길
A,1000960,양재대로64길,양재대로64길
A,1000961,양재대로71길,양재대로71길
A,1000962,양재대로72길,양재대로72길
A,1000963,오금로11길,오금로11길
A,1000964,오금로36길,오금로36길
A,1000665,독산로78다길,독산로78다길
A,1000941,동남로20길,동남로20길
A,1000942,마천로51길,마천로51길
A,1000943,백제고분로21길,백제고분로21길
A,1000944,백제고분로22길,백제고분로22길
A,1000945,백제고분로31길,백제고분로31길
A,1000946,백제고분로32길,백제고분로32길
A,1000956,송이로32길,송이로32길
A,1000957,송이로36길,송이로36길
A,1000958,송파대로30길,송파대로30길
A,1000467,동교로19길,동교로19길
A,1000468,동교로25길,동교로25길
A,1000469,동교로27길,동교로27길
A,1000591,양천로14길,양천로14길
A,1000748,사당로16길,사당로16길
A,1000749,사당로20길,사당로20길
A,1000750,사당로23길,사당로23길
A,1000751,사당로23나길,사당로23나길
A,1000852,논현로27길,논현로27길
A,1000931,영동대로112길,영동대로112길
A,1000932,영동대로65길,영동대로65길
A,1000933,일원로3길,일원로3길
A,1000978,상암로14길,상암로14길
A,1000979,상암로4길,상암로4길
A,1000980,상암로51길,상암로51길
A,1000981,상암로5길,상암로5길
A,1000982,상일로5길,상일로5길
A,1000983,성내로5길,성내로5길
A,1000697,대림로7길,대림로7길
A,1000698,대림로8길,대림로8길
A,1000603,화곡로13길,화곡로13길
A,1000488,신촌로12길,신촌로12길
A,1000489,신촌로28가길,신촌로28가길
A,1000490,신촌로30길,신촌로30길
A,1000491,양화로11길,양화로11길
A,1000507,가로공원로58길,가로공원로58길
A,1000508,곰달래로10길,곰달래로10길
A,1000509,곰달래로2길,곰달래로2길
A,1000592,양천로24가길,양천로24가길
A,1000593,양천로24길,양천로24길
A,1000594,양천로26길,양천로26길
A,1000595,양천로49길,양천로49길
A,1000596,양천로71길,양천로71길
A,1000921,삼성로64길,삼성로64길
A,1000934,일원로9길,일원로9길
A,1000935,테헤란로81길,테헤란로81길
A,1000968,고덕로10길,고덕로10길
