상권_구분_코드,상권_코드,상권_코드_명,상권_구분_코드_명,x,y,x1,y1,WGS84_x,WGS84_y,WGS84_x1,WGS84_y1
R,1001453,낙성대시장,전통시장,196213.759999998,442152.079999998,196125.759999998,442006.829999998,126.9571936553838,37.47880015191974,126.95619951205411,37.477491071421554
R,1001454,봉천제일종합시장,전통시장,195242.519999996,442426.729999997,195055.29999999702,442423.309999995,126.94621127312102,37.481270284174556,126.94409456176977,37.48123848708721
R,1001474,도곡시장,전통시장,204621.689999998,444236.129999995,204436.989999995,444194.979999997,127.05226482433532,37.49757380042561,127.05017587936221,37.49720394198831
R,1001475,강남개포시장,전통시장,205983.139999993,443324.319999993,206085.959999993,443262.59999999404,127.06765349267584,37.48935051839048,127.06881560409512,37.48879374530333
R,1001412,화곡본동시장,전통시장,186224.349999994,449258.549999997,186196.259999998,449431.629999995,126.84412286763273,37.5427346372106,126.84380176536641,37.54429366128672
R,1001413,까치산시장,전통시장,186478.209999993,448239.089999996,186504.079999998,448007.299999997,126.84701415512619,37.53355308934438,126.84731110554617,37.53146504500711
R,1001414,송화골목시장,전통시장,185536.71999999898,450051.889999993,185340.529999994,449948.739999995,126.83632645292263,37.54987206657592,126.83410833920244,37.548939592102634
R,1001452,중부시장,전통시장,196208.089999996,442866.489999995,196118.239999995,442751.71999999904,126.95712587389269,37.48523702437639,126.95611056883534,37.48420256424536
R,1001415,방신전통시장,전통시장,183428.769999996,452517.02999999403,183456.61999999703,452301.949999996,126.81241629312919,37.572047304539446,126.81273640116639,37.57010995483506
R,1001416,공항시장,전통시장,183016.43,451454.379999995,183099.04999999702,451437.139999993,126.80777329869802,37.56246541737122,126.80870881660266,37.562311605241796
R,1001423,독산동 우시장,전통시장,190933.819999993,440662.409999996,190666.16999999402,440849.889999993,126.8975182763105,37.465341386630875,126.89449046157236,37.46702793723828
R,1001424,남문시장,전통시장,191283.639999993,441750.089999996,191163.54999999702,441525.879999995,126.90145968074553,37.47514484813161,126.90010472814623,37.473123556493846
R,1001425,푸른터시장,전통시장,191256.68,442103.509999998,191304.989999995,442047.639999993,126.9011506984856,37.478328937226856,126.90169753522925,37.477825999642675
R,1001426,대명시장,전통시장,191332.16999999402,439474.71999999904,191314.61999999703,439373.46999999904,126.90203507545536,37.45464398925266,126.90183791563283,37.45373155021512
R,1001427,현대시장,전통시장,191560.18,439867.20999999304,191202.839999996,439487.78999999905,126.90460757881019,37.45818247748707,126.90057321734503,37.45476053079228
R,1001428,박미시장,전통시장,191526.399999999,437894.229999997,191662.509999998,437845.78999999905,126.90424843606503,37.440405369981,126.9057870224572,37.43997015472647
R,1001429,은행나무시장,전통시장,192027.449999996,439047.259999998,191917.399999999,439154.409999996,126.90989782982788,37.45079877494316,126.90865292171986,37.45176325502482
R,1001470,강남시장_강남,전통시장,201787.379999995,446614.379999995,201869.899999999,446560.25,127.02021853991484,37.51901177927381,127.02115185445857,37.51852390276693
R,1001372,녹번시장,전통시장,193888.30999999502,455747.509999998,193967.209999993,455686.53999999905,126.93078954365262,37.60128243716003,126.93168353064988,37.60073362410845
R,1001373,신응암시장,전통시장,192863.41999999402,454998.45999999304,192776.539999999,455025.34999999404,126.91919071674229,37.594526193021586,126.91820668847171,37.59476779179609
R,1001374,대림골목시장,전통시장,192804.019999996,454101.479999997,192598.039999999,454134.28999999905,126.91852692646081,37.58644401821228,126.91619448635254,37.58673800094917
R,1001480,새마을시장,전통시장,207434.239999995,445359.479999997,207582.61,445702.389999993,127.08408213968914,37.507676884287335,127.08576375516708,37.51076530969347
R,1001440,노량진중앙시장,전통시장,195166.659999996,445762.379999995,195071.379999995,445900.11999999697,126.94533168608163,37.51132430661515,126.94425308288179,37.512564845661664
R,1001441,본동인정시장,전통시장,195754.439999998,445856.61999999697,195513.229999997,445739.18,126.95197932543839,37.512176302607614,126.949251765059,37.511117022850435
R,1001442,신노량진시장,전통시장,194707.91999999402,445421.309999995,194618.959999993,445476.049999997,126.94014548564913,37.508248736440734,126.93913892982228,37.508741432089685
R,1001443,강남시장_동작,전통시장,195901.009999998,444189.229999997,195875.41999999402,444124.079999998,126.95364643802343,37.497153695734106,126.95335741784935,37.496566576223394
R,1001444,상도전통시장,전통시장,195685.25,444572.519999996,195840.079999998,444379.77999999403,126.95120426268865,37.50060617895163,126.95295633233052,37.49887029053896
R,1001445,영도시장,전통시장,194651.21999999898,444983.61999999697,194794.11999999703,444954.949999996,126.9395073794901,37.50430480244514,126.9411237249466,37.50404730086945
